ESTUDIANTE;PRUEBA;PREGUNTA 001;PREGUNTA 002;PREGUNTA 003;PREGUNTA 004;PREGUNTA 005;PREGUNTA 006;PREGUNTA 007;PREGUNTA 008;PREGUNTA 009;PREGUNTA 010;PREGUNTA 011;PREGUNTA 012;PREGUNTA 013;PREGUNTA 014;PREGUNTA 015;PREGUNTA 016;PREGUNTA 017;PREGUNTA 018;PREGUNTA 019;PREGUNTA 020;PREGUNTA 021;PREGUNTA 022;PREGUNTA 023;PREGUNTA 024;PREGUNTA 025;PREGUNTA 026;PREGUNTA 027;PREGUNTA 028;PREGUNTA 029;PREGUNTA 030;PREGUNTA 031;PREGUNTA 032;PREGUNTA 033;PREGUNTA 034;PREGUNTA 035;PREGUNTA 036;PREGUNTA 037;PREGUNTA 038;PREGUNTA 039;PREGUNTA 040;PREGUNTA 041;PREGUNTA 042;PREGUNTA 043;PREGUNTA 044;PREGUNTA 045;PREGUNTA 046;PREGUNTA 047;PREGUNTA 048;PREGUNTA 049;PREGUNTA 050;PREGUNTA 051;PREGUNTA 052;PREGUNTA 053;PREGUNTA 054;PREGUNTA 055;PREGUNTA 056;PREGUNTA 057;PREGUNTA 058;PREGUNTA 059;PREGUNTA 060;PREGUNTA 061;PREGUNTA 062;PREGUNTA 063;PREGUNTA 064;PREGUNTA 065;PREGUNTA 066;PREGUNTA 067;PREGUNTA 068;PREGUNTA 069;PREGUNTA 070;PREGUNTA 071;PREGUNTA 072;PREGUNTA 073;PREGUNTA 074;PREGUNTA 075;PREGUNTA 076;PREGUNTA 077;PREGUNTA 078;PREGUNTA 079;PREGUNTA 080;PREGUNTA 081;PREGUNTA 082;PREGUNTA 083;PREGUNTA 084;PREGUNTA 085;PREGUNTA 086;PREGUNTA 087;PREGUNTA 088;PREGUNTA 089;PREGUNTA 090;PREGUNTA 091;PREGUNTA 092;PREGUNTA 093;PREGUNTA 094;PREGUNTA 095;PREGUNTA 096;PREGUNTA 097;PREGUNTA 098;PREGUNTA 099;PREGUNTA 100
STU0000;PAES;D;B;B;A;C;B;B;D;B;A;B;D;C;C;D;A;A;A;A;B;C;D;B;A;D;A;A;A;C;A;B;B;A;C;A;D;A;A;B;C;B;C;C;B;A;D;A;B;C;B;C;A;A;C;B;A;C;A;A;B;C;A;D;B;B;B;A;B;A;A;B;A;D;B;C;A;D;B;C;B;B;B;C;B;B;D;B;A;A;C;B;C;A;D;A;B;D;B;C;D
STU0001;PAES;B;B;B;C;C;D;C;B;B;D;C;B;D;D;B;C;C;A;B;B;D;B;C;C;A;A;A;D;D;C;A;A;A;C;A;B;B;D;C;B;A;D;D;C;A;C;B;C;B;D;D;C;B;A;C;C;A;A;B;D;D;D;D;C;A;B;B;A;B;C;D;B;D;A;C;A;A;C;C;B;D;A;D;A;C;B;C;A;B;A;B;C;D;C;C;A;B;A;A;D
STU0002;PAES;D;A;B;D;C;B;B;B;C;A;C;C;D;D;C;D;A;D;A;B;D;B;A;D;B;C;C;C;D;D;A;C;B;A;B;B;D;B;A;B;A;C;A;C;D;C;B;A;D;D;B;B;A;D;B;D;A;B;C;C;B;D;A;A;C;A;B;A;A;C;D;D;A;B;D;C;D;A;A;A;B;C;C;A;D;B;B;C;C;A;A;C;D;A;A;A;C;C;B;B
STU0003;PAES;C;C;C;D;B;B;A;C;A;D;D;C;C;C;C;C;C;D;B;C;B;D;C;D;D;B;A;D;A;B;D;C;D;D;B;A;D;D;D;C;B;C;D;C;D;A;A;C;B;C;B;A;A;C;D;A;A;A;C;C;D;D;B;D;C;B;A;D;D;D;B;A;C;D;C;A;D;B;B;B;B;B;C;D;B;C;B;A;C;B;C;D;D;B;B;D;B;B;D;A
STU0004;PAES;D;C;C;A;A;C;C;D;C;A;A;D;B;D;D;A;D;C;D;C;B;D;D;A;D;C;C;C;D;A;C;B;C;B;B;D;D;D;B;B;D;C;B;D;D;B;B;D;C;A;B;C;C;B;A;A;D;D;D;C;B;D;D;A;B;D;B;B;B;A;C;A;C;D;D;C;D;B;B;B;C;D;D;B;A;B;B;A;A;B;D;B;A;C;C;D;C;C;A;A
STU0005;PAES;D;D;B;C;A;B;D;A;A;D;B;C;B;A;C;B;A;C;B;B;D;A;D;A;B;A;B;A;D;C;C;D;B;B;B;A;B;B;B;D;A;C;B;A;D;D;B;C;A;D;C;C;A;D;C;C;C;A;C;D;C;B;C;B;A;B;A;D;B;C;C;A;A;A;A;C;B;B;B;D;A;B;B;C;B;A;A;A;C;D;A;A;B;B;C;A;D;B;C;C
STU0006;PAES;A;C;C;D;C;A;A;C;B;D;A;B;B;D;B;D;D;B;B;D;B;D;C;B;B;A;C;B;B;A;C;B;D;A;C;D;D;A;B;B;C;A;D;C;D;C;B;A;C;D;D;A;C;C;A;B;A;D;D;B;C;C;B;B;D;B;D;D;D;D;B;C;A;C;B;B;C;A;B;C;D;B;A;C;B;C;A;C;C;B;C;B;C;A;B;B;A;D;C;D
STU0007;PAES;B;B;C;B;C;D;A;B;B;A;A;B;B;C;A;A;B;C;C;D;B;D;A;A;D;D;B;A;B;C;A;A;D;D;A;C;C;C;B;D;C;B;C;D;A;C;A;C;C;A;D;A;D;C;D;B;B;C;A;A;A;C;C;C;C;C;C;A;D;B;C;A;C;B;B;B;A;A;D;B;D;B;A;B;C;D;B;C;A;A;C;D;C;D;A;B;A;B;D;B
STU0008;PAES;D;B;C;C;B;D;C;C;B;D;D;A;B;A;B;B;D;A;D;A;A;C;B;A;A;D;C;B;D;A;C;D;B;D;A;D;A;D;B;D;B;A;B;B;D;A;C;D;C;D;A;A;A;C;C;D;A;B;B;A;B;A;D;B;A;A;A;D;B;A;C;B;B;B;A;B;D;B;D;A;D;B;A;C;C;D;B;D;D;A;D;A;D;D;D;A;B;A;C;A
STU0009;PAES;D;D;C;A;B;D;D;C;D;B;A;C;B;C;D;B;B;A;B;C;D;B;B;D;B;D;B;C;B;C;C;C;B;D;D;B;A;C;C;A;B;D;A;B;A;B;D;A;B;C;C;C;B;D;D;C;D;D;A;D;B;D;D;B;D;D;A;A;D;C;C;B;C;A;A;C;C;C;D;C;C;B;D;B;D;D;C;C;B;C;D;C;D;A;A;D;B;D;C;A
STU0010;PAES;B;A;B;C;D;C;C;A;C;C;C;C;C;B;D;D;B;D;D;C;D;A;B;D;A;A;D;A;B;C;D;C;C;D;C;D;D;C;D;C;B;D;A;B;D;D;A;A;A;B;C;D;D;B;D;C;B;C;B;C;A;C;D;D;B;B;A;D;A;C;C;D;A;B;A;B;A;C;B;C;A;D;C;A;B;B;A;D;A;A;B;B;B;B;A;D;D;A;A;D
STU0011;PAES;D;A;D;C;C;C;D;A;C;C;A;D;C;D;B;B;C;D;C;C;A;C;D;A;B;D;A;C;D;B;B;B;A;A;D;D;C;D;D;A;A;C;D;C;A;D;B;A;D;C;C;A;B;A;B;D;A;D;A;B;B;C;C;C;D;D;C;A;A;D;C;C;A;A;C;C;A;D;D;A;C;D;B;D;A;A;D;B;C;C;B;C;B;C;D;C;A;C;B;A
STU0012;PAES;C;A;A;D;A;D;D;D;D;B;A;D;A;D;B;B;C;C;B;A;A;D;A;A;B;B;B;B;A;A;B;C;B;A;A;B;A;C;C;D;D;C;D;B;B;A;A;B;A;D;C;D;C;B;B;B;C;D;B;D;D;A;B;C;A;A;D;A;A;B;C;C;D;A;A;A;A;C;D;C;C;A;B;D;D;D;C;A;D;C;D;D;D;A;D;D;A;D;A;C
STU0013;PAES;C;C;C;B;D;B;B;B;B;A;D;C;A;A;D;A;D;C;A;C;C;A;C;D;A;A;B;C;C;B;B;B;D;A;C;A;C;A;B;A;D;D;A;B;C;D;D;A;A;D;C;B;A;D;B;D;C;D;A;B;B;D;C;A;B;A;B;D;A;B;B;B;A;D;D;B;B;B;C;C;D;D;D;D;C;B;A;C;B;D;A;B;D;C;A;D;D;B;A;D
STU0014;PAES;D;D;B;A;A;D;C;D;B;D;B;D;B;D;C;D;C;C;B;A;C;B;A;D;B;A;D;C;A;D;D;A;D;C;D;B;A;C;D;D;C;B;D;D;D;C;B;A;A;A;B;B;A;A;D;D;B;C;B;C;B;C;C;D;A;D;A;C;A;D;B;A;C;A;C;B;A;D;D;C;A;A;D;C;D;D;B;D;A;C;B;D;D;D;D;B;B;C;B;B
STU0015;PAES;B;B;A;C;B;B;D;B;C;B;B;C;B;C;D;D;A;A;D;A;B;C;B;C;B;C;C;C;D;D;B;D;C;D;A;B;A;A;C;A;B;A;A;A;A;D;C;B;D;D;B;D;B;D;C;B;C;D;C;B;B;B;A;C;C;C;C;A;A;B;B;B;C;B;B;D;A;D;A;A;D;B;D;B;C;A;C;D;B;A;A;A;A;A;C;B;D;A;A;B
STU0016;PAES;C;B;C;D;A;A;D;C;B;C;A;D;A;C;B;C;D;B;B;D;D;A;D;A;A;A;C;C;D;A;C;A;A;D;C;C;A;D;B;C;B;B;C;B;C;D;C;C;A;D;D;B;D;D;B;D;D;B;C;D;D;C;C;B;B;B;D;B;B;A;D;A;C;C;C;B;D;B;A;A;B;D;D;B;A;B;C;D;D;B;B;A;A;C;B;B;D;C;C;D
STU0017;PAES;A;C;C;B;D;D;A;B;C;D;A;D;B;A;A;C;A;A;C;B;B;D;B;C;A;D;A;B;B;D;C;B;B;A;D;A;C;B;A;D;A;B;B;C;D;D;D;C;B;C;C;D;A;B;B;B;A;B;B;B;A;B;C;C;C;C;A;C;B;C;A;B;B;A;A;B;B;D;B;A;D;A;D;C;B;D;A;C;B;B;D;C;D;D;A;C;A;B;D;B
STU0018;PAES;B;C;C;D;A;D;A;C;C;B;B;C;C;A;B;A;D;A;A;B;D;B;D;A;A;D;C;D;D;D;D;D;A;B;A;A;A;B;C;A;B;A;C;B;A;D;D;A;D;B;B;C;B;A;C;A;D;C;D;B;D;C;A;A;A;C;B;A;A;A;B;B;C;B;B;D;C;B;B;A;A;B;D;C;B;C;B;B;B;D;D;D;B;B;B;D;D;B;B;A
STU0019;PAES;D;C;B;B;B;B;A;A;B;B;B;C;A;A;B;C;A;D;D;C;A;C;B;A;B;A;C;C;D;A;B;B;A;D;C;A;D;A;A;B;C;C;B;D;D;B;C;B;A;D;D;D;D;C;A;D;B;B;A;D;A;B;D;C;A;A;A;C;D;D;D;C;A;A;D;B;D;D;C;D;C;C;A;B;A;A;A;D;B;B;B;A;D;A;D;B;C;A;A;D
STU0020;PAES;A;D;B;B;D;B;D;A;D;B;D;A;B;D;A;D;A;D;B;A;C;C;B;D;C;D;B;A;B;D;B;A;C;A;D;D;B;C;B;B;A;A;A;C;C;A;C;C;C;A;D;C;B;A;A;B;D;A;B;C;B;D;B;D;C;D;D;C;B;B;C;A;A;A;C;A;A;C;B;D;A;D;D;A;B;A;D;A;C;C;C;B;B;B;A;D;C;A;B;B
STU0021;PAES;A;B;A;D;A;D;B;A;D;D;C;C;B;A;C;D;A;D;C;D;A;A;A;D;A;C;C;B;A;D;D;C;A;B;C;B;A;B;C;D;C;B;C;C;A;D;B;A;A;B;D;C;C;D;A;B;C;A;B;D;B;C;C;C;B;A;C;A;A;A;D;B;B;A;D;B;C;D;C;D;D;D;D;D;D;C;A;D;A;A;C;C;B;A;A;A;B;A;B;A
STU0022;PAES;C;A;B;B;B;D;D;D;A;B;D;A;B;D;D;C;C;D;A;D;A;B;A;B;A;D;C;A;A;B;B;B;D;D;B;A;C;C;B;B;B;D;A;B;C;D;C;D;A;B;D;D;D;B;D;D;B;C;C;C;A;D;A;D;C;D;C;B;A;C;B;D;D;B;D;D;B;A;D;B;D;D;B;D;A;A;A;A;C;B;D;C;D;A;B;B;C;D;B;D
STU0023;PAES;C;A;B;A;D;C;C;B;D;A;B;A;B;B;D;C;D;D;B;D;A;A;B;B;A;D;A;C;B;C;D;D;C;D;C;A;B;D;B;B;D;A;A;B;D;B;D;D;C;D;C;A;C;D;C;C;A;C;D;A;C;D;B;C;B;C;B;C;B;D;C;C;D;A;B;C;D;C;C;B;A;B;A;D;A;D;A;D;D;C;B;A;B;C;C;D;B;A;D;C
STU0024;PAES;D;C;A;B;B;C;D;A;A;C;A;A;C;A;C;B;D;B;D;D;C;D;A;B;C;D;B;D;D;B;B;B;C;A;C;B;A;A;B;A;B;A;A;C;B;C;A;B;D;B;C;C;C;C;B;A;B;A;B;D;C;A;D;D;A;C;A;B;D;B;A;A;C;C;C;C;D;B;B;D;B;A;A;A;B;A;C;A;C;B;A;D;B;C;C;D;B;A;A;C
STU0025;PAES;C;D;A;B;A;A;A;B;B;D;A;B;B;C;D;B;A;B;B;D;C;D;C;C;A;A;C;A;B;D;C;A;C;B;D;D;A;B;A;A;A;C;D;B;B;C;A;C;D;D;D;B;B;A;A;C;D;C;A;B;A;D;B;B;B;B;C;B;A;C;A;C;C;D;A;B;B;D;B;C;B;B;B;C;A;B;C;D;B;C;D;D;B;A;A;C;D;A;D;B
STU0026;PAES;C;C;D;D;B;A;C;A;C;B;A;C;A;B;C;C;D;C;D;C;A;C;B;B;B;D;D;B;B;D;A;D;D;C;C;C;A;D;B;C;A;C;D;A;D;C;B;D;A;C;D;C;B;B;B;A;A;D;A;C;D;D;D;A;D;D;D;C;C;D;C;C;C;D;A;C;D;D;A;C;C;D;A;A;A;A;D;D;C;C;D;D;A;B;C;D;A;B;A;B
STU0027;PAES;C;C;D;C;C;B;C;C;B;D;D;A;D;C;D;D;A;D;C;D;A;A;A;A;B;C;A;A;B;A;C;C;D;C;C;B;C;D;A;B;C;A;A;C;B;C;A;D;C;D;B;C;A;D;B;B;D;B;D;A;C;C;D;C;B;D;A;C;D;C;B;C;C;C;D;D;D;D;A;C;C;D;A;B;A;C;D;D;A;C;C;C;C;D;A;B;B;B;C;C
STU0028;PAES;B;D;D;B;C;C;A;C;A;C;C;B;C;A;B;A;A;B;A;B;A;A;D;D;C;D;B;C;A;D;A;C;C;C;C;A;C;B;C;B;D;C;B;A;B;A;B;A;A;A;A;A;B;D;C;D;C;D;D;C;A;D;D;C;A;D;B;D;C;D;C;B;D;C;D;A;C;D;C;B;B;A;B;A;C;B;A;A;D;C;A;D;D;C;C;D;B;B;D;D
STU0029;PAES;B;D;A;A;D;C;A;C;A;A;C;C;B;A;C;B;B;B;B;C;D;C;B;A;C;C;D;A;C;A;B;D;C;A;D;A;D;D;C;C;C;D;D;B;D;A;C;A;B;A;A;D;C;B;A;C;A;D;A;C;A;C;C;A;D;A;B;D;C;D;B;B;D;A;A;D;A;B;D;A;C;B;D;D;D;A;C;D;D;D;D;B;C;C;A;B;A;D;C;C
STU0030;PAES;D;B;B;C;D;A;D;A;B;D;B;B;D;B;A;D;D;D;C;B;B;B;A;A;C;B;B;C;B;C;A;C;A;B;C;B;B;A;D;C;D;C;D;D;B;C;A;A;C;B;A;C;A;C;A;A;D;D;C;A;B;D;C;A;A;D;A;A;B;D;C;C;A;D;D;C;D;D;C;D;C;C;D;C;B;B;C;A;A;C;B;B;D;D;B;A;A;A;A;D
STU0031;PAES;B;A;D;C;D;B;A;D;C;C;B;C;A;B;C;D;B;D;D;D;B;B;B;C;D;C;C;B;A;B;A;C;A;D;A;A;A;D;D;D;B;A;B;A;B;C;A;B;B;A;D;B;D;B;B;D;D;B;A;C;D;C;D;B;D;D;C;D;D;D;C;C;C;A;C;B;B;A;D;C;C;C;D;C;A;A;D;B;A;B;D;C;C;A;B;A;B;D;A;A
STU0032;PAES;A;C;A;C;B;C;B;B;A;A;A;B;B;C;C;C;D;C;C;B;C;B;D;A;D;D;A;A;D;B;A;D;D;B;B;C;C;D;A;A;A;D;A;A;A;C;D;A;D;D;B;C;C;A;C;D;D;B;D;B;D;A;C;A;D;A;C;C;C;D;D;D;A;C;C;C;A;C;A;D;D;D;B;A;C;C;A;A;A;D;B;D;B;B;C;A;D;B;D;C
STU0033;PAES;D;D;A;C;B;D;D;D;C;B;C;D;B;B;B;B;A;B;D;D;D;C;C;C;D;A;D;D;C;A;C;A;D;D;D;A;D;A;B;A;A;B;A;A;B;D;C;B;A;A;B;A;C;C;B;A;C;D;B;B;B;C;C;C;A;C;D;D;D;B;B;D;C;C;A;C;A;C;C;B;D;B;D;B;C;B;A;C;D;C;B;A;C;A;D;B;A;B;B;A
STU0034;PAES;D;B;B;B;B;D;A;A;C;A;D;C;D;A;A;A;C;D;D;D;A;A;C;D;C;B;A;B;C;D;D;D;A;A;D;A;A;A;B;D;B;A;D;A;B;C;A;C;B;C;B;A;D;B;D;A;B;A;C;D;C;A;C;B;A;B;A;B;A;A;B;A;B;C;A;C;C;A;B;A;B;C;D;A;A;A;A;A;A;B;A;D;C;A;B;A;C;D;C;A
STU0035;PAES;C;B;D;D;B;A;D;D;B;D;C;D;B;D;D;B;A;C;D;C;C;B;C;D;B;A;D;C;B;C;C;C;B;C;A;B;C;C;A;B;A;C;B;C;D;D;D;D;D;A;A;D;B;D;B;C;B;A;C;B;C;D;C;D;C;D;A;D;D;C;B;C;C;B;C;A;B;C;B;C;B;C;A;A;A;B;D;A;A;A;A;B;C;C;C;A;D;B;A;A
STU0036;PAES;B;D;C;C;B;D;D;D;B;B;A;A;A;D;C;C;C;C;C;D;C;C;B;A;C;D;D;C;A;C;C;B;C;D;A;C;A;A;C;D;C;D;C;B;C;D;C;D;C;A;D;B;D;C;B;A;D;C;C;A;B;B;B;A;B;C;C;A;B;C;B;A;D;C;D;C;C;C;B;C;A;B;B;C;A;C;A;D;A;C;B;C;D;D;A;A;B;D;A;B
STU0037;PAES;A;C;C;A;C;B;C;A;C;B;A;C;D;A;B;A;B;C;C;D;C;C;B;D;D;B;C;B;D;A;C;A;B;D;B;B;C;A;C;C;D;B;C;D;D;C;D;A;D;C;D;D;C;C;D;D;C;A;C;B;A;B;C;B;B;C;B;C;C;D;B;C;D;D;B;B;C;B;C;D;A;C;C;C;B;C;C;D;C;B;C;D;C;B;D;C;B;D;B;B
STU0038;PAES;A;D;C;A;A;C;D;A;C;C;B;A;A;C;C;A;C;C;C;D;C;B;A;D;C;A;D;C;A;D;C;D;B;A;B;C;A;D;C;D;D;B;B;D;B;A;B;C;C;C;B;A;B;B;C;C;B;B;C;D;B;A;B;D;B;A;A;C;B;D;A;A;B;D;B;D;B;C;B;A;C;C;C;A;A;C;A;D;A;D;C;D;C;B;B;A;C;B;B;B
STU0039;PAES;A;A;B;C;A;A;C;A;D;D;A;A;A;D;B;B;B;D;A;B;D;C;B;A;D;C;B;B;C;C;C;A;D;B;B;A;D;D;C;A;B;B;C;A;A;D;D;C;B;D;C;B;B;B;B;C;C;A;D;A;B;A;D;D;D;B;A;D;A;C;C;C;B;D;C;A;A;C;D;C;A;B;B;A;D;D;A;B;B;B;D;D;A;A;A;A;D;C;B;D
STU0040;PAES;B;A;B;C;B;A;C;B;B;A;B;C;C;A;D;C;B;C;B;B;C;B;D;C;D;A;B;B;C;A;C;B;B;C;C;C;A;A;D;C;D;D;C;C;C;D;C;D;C;C;D;D;C;B;D;B;A;D;D;C;A;D;A;C;A;A;D;B;B;D;A;A;B;A;B;B;C;C;C;B;C;B;D;C;C;B;B;D;A;C;D;C;D;D;A;D;A;B;A;A
STU0041;PAES;A;D;D;A;C;B;B;A;A;A;D;A;A;B;B;A;D;A;C;B;A;A;A;D;D;B;D;A;B;C;A;C;D;B;C;B;D;C;B;A;A;C;D;B;D;D;B;D;D;C;A;C;A;C;B;C;B;A;B;B;D;C;B;D;A;D;C;A;C;B;D;C;A;C;A;D;C;A;C;A;C;A;D;D;D;A;C;C;C;A;C;C;B;C;A;D;B;C;B;D
STU0042;PAES;A;B;D;B;D;B;D;B;D;C;A;D;D;D;D;D;B;D;B;C;D;C;B;D;B;C;B;C;A;D;D;A;C;B;B;D;C;D;C;B;D;C;A;C;B;D;C;C;C;A;B;D;B;A;B;C;D;B;A;A;A;D;A;C;B;D;D;A;C;B;B;B;B;C;D;B;A;B;C;B;C;A;C;C;C;A;C;A;D;A;D;C;B;B;C;D;A;B;A;C
STU0043;PAES;B;A;A;D;D;D;A;D;B;C;D;D;C;D;C;A;A;C;A;C;B;C;B;C;D;A;A;A;D;A;D;C;C;B;C;C;D;B;A;C;B;B;D;D;A;C;B;A;D;D;B;A;C;D;C;C;B;B;A;D;A;C;B;A;B;D;B;B;D;B;C;D;A;C;D;C;C;A;D;D;B;C;C;B;C;D;C;C;B;A;B;A;C;D;D;C;B;C;A;C
STU0044;PAES;B;D;C;D;B;C;D;B;A;D;B;B;A;A;C;C;B;B;A;A;A;B;C;D;D;A;A;D;D;B;A;A;A;C;C;B;B;B;B;A;C;D;B;A;C;D;B;D;B;A;D;A;B;D;C;C;B;A;D;C;A;A;A;C;C;C;A;A;D;B;D;D;A;D;D;B;C;B;D;C;B;D;A;C;D;D;B;A;A;D;D;B;A;A;C;A;B;B;A;B
STU0045;PAES;A;D;C;D;B;D;B;C;D;C;A;D;D;B;C;B;A;D;A;D;D;D;D;D;B;D;A;B;A;C;C;D;B;A;A;A;D;A;D;B;B;C;C;D;B;A;D;C;B;D;D;B;D;A;B;B;D;D;B;D;A;B;D;D;C;C;B;B;B;B;C;A;D;B;D;C;C;B;A;B;C;D;A;B;B;D;C;A;C;C;B;D;A;C;B;C;A;C;B;A
